idPlayer,namePlayer,heightInches
203552,Seth Curry,74
203584,Troy Daniels,76
203540,Gigi Datome,80
203561,Brandon Davies,82
203473,Dewayne Dedmon,84
203521,Matthew Dellavedova,75
203476,Gorgui Dieng,82
202197,Shane Edwards,79
203467,Carrick Felix,78
203479,Jamaal Franklin,77
203497,Rudy Gobert,85
203462,Archie Goodwin,77
203268,Jorge Gutierrez,75
203120,Justin Hamilton,84
203501,Tim Hardaway Jr.,77
203548,Elias Harris,80
203524,Solomon Hill,78
203816,Scotty Hopson,79
203133,Robbie Hummel,81
203508,Sergey Karasev,79
203527,Ryan Kelly,83
203136,Ognjen Kuzmic,84
203499,Shane Larkin,71
203495,Ricky Ledo,79
203458,Alex Len,84
203492,Ray McCallum,75
203468,CJ McCollum,75
203463,Ben McLemore,75
203539,Gal Mekel,75
203183,Tony Mitchell,78
203498,Shabazz Muhammad,78
203513,Erik Murphy,82
203315,Toure' Murry,77
203488,Mike Muscala,82
203517,Nemanja Nedovic,75
203263,James Nunnally,79
203506,Victor Oladipo,76
203482,Kelly Olynyk,83
202620,Arinze Onuaku,81
203486,Mason Plumlee,83
203490,Otto Porter Jr.,80
203515,Phil Pressey,71
203545,Miroslav Raduljica,84
203318,Glen Rice Jr.,78
203460,Andre Roberson,79
203471,Dennis Schroder,73
203491,Peyton Siva,72
203147,Chris Smith,74
203503,Tony Snell,78
203480,James Southerland,80
203474,DJ Stephens,77
203519,Adonis Thomas,79
203138,Hollis Thompson,80
203091,Royce White,80
203481,Jeff Withey,84
203489,Nate Wolters,76
203469,Cody Zeller,83
203919,Jordan Adams,77
203128,Furkan Aldemir,82
203937,Kyle Anderson,81
203946,Cameron Bairstow,81
204021,Sim Bhullar,89
204028,Tarik Black,81
202711,Bojan Bogdanovic,79
203913,Jabari Brown,77
203900,Markel Brown,75
203998,Bruno Caboclo,81
203991,Clint Capela,82
203903,Jordan Clarkson,76
204022,Jack Cooley,82
203955,Bryce Cotton,73
203958,Andre Dawkins,77
203915,Spencer Dinwiddie,78
204054,Zoran Dragic,77
203580,Larry Drew II,74
203921,Cleanthony Early,80
203516,James Ennis III,78
203898,Tyler Ennis,75
203957,Dante Exum,77
204025,Tim Frazier,72
204038,Langston Galloway,73
203932,Aaron Gordon,80
204079,Drew Gordon,81
203924,Jerami Grant,80
203475,Erick Green,76
203210,JaMychal Green,80
203798,PJ Hairston,78
203914,Gary Harris,76
203925,Joe Harris,78
203918,Rodney Hood,80
204060,Joe Ingles,80
203928,Cory Jefferson,81
203511,Grant Jerrett,82
203910,Nick Johnson,75
204020,Tyler Johnson,75
203930,Sean Kilpatrick,76
203945,Alex Kirk,84
203530,Joffrey Lauvergne,83
203897,Zach LaVine,77
203564,Kalin Lucas,73
203906,Devyn Marble,78
203949,James Michael McAdoo,81
203909,KJ McDaniels,78
203926,Doug McDermott,79
203956,Mitch McGary,82
202077,Jerel McNeal,75
202407,Elijah Millsap,79
202703,Nikola Mirotic,82
203961,Eric Moreland,82
203894,Shabazz Napier,72
203457,Nerlens Noel,83
203512,Lucas Nogueira,84
203994,Jusuf Nurkic,83
203948,Johnny O'Bryant III,81
203123,Kostas Papanikolaou,80
203953,Jabari Parker,79
203940,Adreian Payne,82
203901,Elfrid Payton,75
203939,Dwight Powell,82
203944,Julius Randle,80
203922,Glenn Robinson III,78
204014,Damjan Rudez,82
203960,JaKarr Sampson,79
203935,Marcus Smart,76
203893,Russ Smith,72
203917,Nik Stauskas,78
204065,David Stockton,71
203950,Jarnell Stokes,81
203943,Noah Vonleh,82
203933,T.J. Warren,80
204033,David Wear,82
204037,Travis Wear,82
203963,Shayne Whittington,83
203952,Andrew Wiggins,79
203912,C.J. Wilcox,77
203923,James Young,78
1626146,Cliff Alexander,80
1626147,Justin Anderson,77
203648,Thanasis Antetokounmpo,78
